class_dir,label,cohesion,vecino_mas_cercano,sim_vecino,margen,zs_acc,tercil
spaghetti_bolognese,Spaghetti bolognese,0.9174933,Spaghetti carbonara,0.9436507225036621,-0.0261574387550354,0.9666666666666667,facil
deviled_eggs,Deviled eggs,0.8876621,Caprese salad,0.9122071862220764,-0.02454507350921631,1.0,facil
ramen,Ramen,0.91246474,Pho,0.9360789060592651,-0.023614168167114258,0.7333333333333333,facil
sushi,Sushi,0.9164692,Sashimi,0.937809407711029,-0.02134019136428833,0.9,facil
sashimi,Sashimi,0.916803,Sushi,0.937809407711029,-0.021006405353546143,0.9333333333333333,facil
hot_dog,Hot dog,0.88385755,Lobster roll sandwich,0.902266263961792,-0.01840871572494507,0.9666666666666667,facil
bibimbap,Bibimbap,0.90791523,Ramen,0.9251635074615479,-0.01724827289581299,0.9333333333333333,facil
seaweed_salad,Seaweed salad,0.8985469,Caesar salad,0.9149983525276184,-0.016451478004455566,0.8666666666666667,facil
mussels,Mussels,0.90771145,Oysters,0.9236589670181274,-0.01594752073287964,0.9,facil
cheese_plate,Cheese plate,0.8724501,Beet salad,0.8837888836860657,-0.011338770389556885,0.9333333333333333,facil
chicken_wings,Chicken wings,0.89427674,Fried calamari,0.903770923614502,-0.009494185447692871,1.0,facil
fish_and_chips,Fish and chips,0.89753807,French fries,0.9064623713493347,-0.008924305438995361,1.0,facil
lobster_roll_sandwich,Lobster roll sandwich,0.89552534,Hot dog,0.902266263961792,-0.006740927696228027,0.9666666666666667,facil
cup_cakes,Cup cakes,0.89186794,Red velvet cake,0.8986028432846069,-0.006734907627105713,0.7666666666666667,facil
pho,Pho,0.9316147,Ramen,0.9360789060592651,-0.004464209079742432,1.0,facil
oysters,Oysters,0.92471415,Mussels,0.9236589670181274,0.0010551810264587402,1.0,facil
pizza,Pizza,0.9016798,Lasagna,0.8957952260971069,0.00588458776473999,0.9666666666666667,facil
donuts,Donuts,0.889252,Cup cakes,0.8828173875808716,0.006434619426727295,0.9333333333333333,facil
macarons,Macarons,0.9049739,Cup cakes,0.8705587387084961,0.03441518545150757,0.9666666666666667,facil
dumplings,Dumplings,0.9327715,Gyoza,0.879828155040741,0.05294334888458252,1.0,facil
edamame,Edamame,0.9209226,Seaweed salad,0.8609594702720642,0.059963107109069824,0.9666666666666667,facil
