step,epoch,loss,learning_rate,grad_norm,split,eval_loss,eval_accuracy,eval_f1_macro,eval_runtime,eval_samples_per_second,eval_steps_per_second
200,0.09387467730579677,4.468479309082031,4.669169404035664e-05,11.664628028869629,train,,,,,,
400,0.18774935461159353,3.497721862792969,9.361801970905678e-05,11.963489532470703,train,,,,,,
600,0.28162403191739027,2.71964599609375,0.00014054434537775693,11.207656860351562,train,,,,,,
800,0.37549870922318707,2.305469970703125,0.00018747067104645708,12.140806198120117,train,,,,,,
1000,0.4693733865289838,2.171389617919922,0.0002343969967151572,12.659193992614746,train,,,,,,
1200,0.5632480638347805,2.081104583740234,0.00028132332238385734,12.308408737182617,train,,,,,,
1400,0.6571227411405773,2.080135498046875,0.0003282496480525575,15.527742385864258,train,,,,,,
1600,0.7509974184463741,2.0430314636230467,0.0003751759737212576,11.225998878479004,train,,,,,,
1800,0.8448720957521708,2.085094451904297,0.00042210229938995775,10.68853759765625,train,,,,,,
2000,0.9387467730579676,2.100555877685547,0.0004690286250586579,9.687447547912598,train,,,,,,
2131,1.0,,,,val,2.1154186725616455,0.4619141914191419,0.4629617127346463,38.1845,198.379,12.413
2200,1.0323867636705,2.0869064331054688,0.0004991602657511917,8.867817878723145,train,,,,,,
2400,1.1262614409762968,2.0494439697265623,0.0004966904591370496,9.908814430236816,train,,,,,,
2600,1.2201361182820933,1.9800123596191406,0.0004942206525229075,12.081429481506348,train,,,,,,
2800,1.3140107955878901,1.9749258422851563,0.0004917508459087653,9.543002128601074,train,,,,,,
3000,1.407885472893687,1.9238351440429688,0.0004892810392946233,7.964223861694336,train,,,,,,
3200,1.5017601501994837,1.9104801940917968,0.0004868112326804811,8.616042137145996,train,,,,,,
3400,1.5956348275052803,1.8659278869628906,0.000484341426066339,7.408970355987549,train,,,,,,
3600,1.689509504811077,1.8388047790527344,0.00048187161945219693,8.5136137008667,train,,,,,,
3800,1.7833841821168739,1.8200387573242187,0.0004794018128380548,7.169912338256836,train,,,,,,
4000,1.8772588594226707,1.7753057861328125,0.0004769320062239127,7.766944885253906,train,,,,,,
4200,1.9711335367284675,1.7417381286621094,0.00047446219960977054,6.99959135055542,train,,,,,,
4262,2.0,,,,val,1.7345795631408691,0.5495709570957096,0.5533575812768089,38.2394,198.094,12.396
4400,2.064773527341,1.5801145935058594,0.00047199239299562846,5.527279376983643,train,,,,,,
4600,2.1586482046467967,1.5875044250488282,0.00046952258638148633,8.448019981384277,train,,,,,,
4800,2.2525228819525935,1.610011749267578,0.0004670527797673442,5.72199010848999,train,,,,,,
5000,2.34639755925839,1.5836831665039062,0.0004645829731532021,7.727110385894775,train,,,,,,
5200,2.4402722365641867,1.5689117431640625,0.00046211316653906,9.73996353149414,train,,,,,,
5400,2.5341469138699835,1.5401834106445313,0.0004596433599249179,6.9168877601623535,train,,,,,,
5600,2.6280215911757803,1.5628684997558593,0.00045717355331077573,8.68574047088623,train,,,,,,
5800,2.721896268481577,1.5378851318359374,0.00045470374669663366,6.673067569732666,train,,,,,,
6000,2.815770945787374,1.5701275634765626,0.0004522339400824915,6.338940620422363,train,,,,,,
6200,2.9096456230931707,1.492076416015625,0.00044976413346834945,6.147943019866943,train,,,,,,
6393,3.0,,,,val,1.6271867752075195,0.5751815181518152,0.5814708731981725,37.1722,203.781,12.751
6400,3.0032856137057027,1.4977920532226563,0.0004472943268542073,7.443876266479492,train,,,,,,
6600,3.0971602910114995,1.3240144348144531,0.0004448245202400652,6.31901216506958,train,,,,,,
6800,3.1910349683172963,1.3459687805175782,0.0004423547136259231,8.538496971130371,train,,,,,,
7000,3.284909645623093,1.3226835632324219,0.000439884907011781,7.1811699867248535,train,,,,,,
7200,3.37878432292889,1.3250067138671875,0.00043741510039763885,6.462377071380615,train,,,,,,
7400,3.4726590002346867,1.3590315246582032,0.0004349452937834968,6.352170944213867,train,,,,,,
7600,3.5665336775404834,1.349480438232422,0.00043247548716935464,7.461246967315674,train,,,,,,
7800,3.6604083548462802,1.338864288330078,0.00043000568055521257,5.256338119506836,train,,,,,,
8000,3.754283032152077,1.3357124328613281,0.0004275358739410704,9.197957992553711,train,,,,,,
8200,3.848157709457874,1.3296694946289063,0.0004250660673269283,7.599231243133545,train,,,,,,
8400,3.9420323867636706,1.3226156616210938,0.0004225962607127862,6.29051399230957,train,,,,,,
8524,4.0,,,,val,1.393947720527649,0.6332673267326733,0.6321461694175946,38.0881,198.881,12.445
8600,4.035672377376203,1.2221279907226563,0.0004201264540986441,7.31920862197876,train,,,,,,
8800,4.129547054682,1.1247691345214843,0.00041765664748450197,6.271554470062256,train,,,,,,
9000,4.223421731987797,1.1661244201660157,0.00041518684087035984,6.613042831420898,train,,,,,,
9200,4.3172964092935935,1.174876480102539,0.00041271703425621776,6.226775169372559,train,,,,,,
9400,4.41117108659939,1.1616016387939454,0.00041024722764207563,7.332540512084961,train,,,,,,
9600,4.505045763905187,1.180014877319336,0.0004077774210279335,7.029542922973633,train,,,,,,
9800,4.598920441210983,1.1679409790039061,0.00040530761441379137,6.754764556884766,train,,,,,,
10000,4.69279511851678,1.184565200805664,0.0004028378077996493,6.35007905960083,train,,,,,,
10200,4.786669795822577,1.191005096435547,0.0004003680011855072,6.357377052307129,train,,,,,,
10400,4.880544473128373,1.1586060333251953,0.00039789819457136503,5.2166876792907715,train,,,,,,
10600,4.97441915043417,1.1914252471923827,0.00039542838795722296,5.515124320983887,train,,,,,,
10655,5.0,,,,val,1.4161442518234253,0.6344554455445545,0.641036269787069,38.0731,198.959,12.45
10800,5.068059141046703,1.0391743469238282,0.0003929585813430808,6.024840831756592,train,,,,,,
11000,5.1619338183525,0.9777762603759765,0.00039048877472893875,6.3894195556640625,train,,,,,,
11200,5.255808495658296,1.0106210327148437,0.0003880189681147966,4.738728046417236,train,,,,,,
11400,5.349683172964093,1.0404632568359375,0.0003855491615006545,6.882235050201416,train,,,,,,
11600,5.443557850269889,0.9975747680664062,0.0003830793548865124,7.189511299133301,train,,,,,,
11800,5.537432527575686,1.0078704833984375,0.0003806095482723703,7.964294910430908,train,,,,,,
12000,5.631307204881483,1.0375435638427735,0.00037813974165822815,6.593278884887695,train,,,,,,
12200,5.72518188218728,1.0221350860595704,0.000375669935044086,6.492811679840088,train,,,,,,
12400,5.8190565594930765,1.0509784698486329,0.00037320012842994394,6.704619407653809,train,,,,,,
12600,5.912931236798873,1.037877960205078,0.00037073032181580187,6.186986446380615,train,,,,,,
12786,6.0,,,,val,1.2893577814102173,0.6623102310231023,0.6630778928154453,38.8055,195.204,12.215
12800,6.006571227411405,1.0201212310791015,0.0003682605152016597,5.590127468109131,train,,,,,,
13000,6.100445904717202,0.8386415100097656,0.0003657907085875176,4.433066368103027,train,,,,,,
13200,6.194320582022999,0.8335409545898438,0.0003633209019733755,8.530936241149902,train,,,,,,
13400,6.288195259328796,0.8732454681396484,0.0003608510953592334,5.3943963050842285,train,,,,,,
13600,6.3820699366345925,0.8927249908447266,0.00035838128874509127,8.136797904968262,train,,,,,,
13800,6.475944613940389,0.8920336151123047,0.00035591148213094914,7.027440071105957,train,,,,,,
14000,6.569819291246186,0.9099562072753906,0.00035344167551680706,6.41377592086792,train,,,,,,
14200,6.663693968551983,0.9320252990722656,0.00035097186890266493,4.1244378089904785,train,,,,,,
14400,6.75756864585778,0.9189348602294922,0.0003485020622885228,7.235805988311768,train,,,,,,
14600,6.8514433231635765,0.8948067474365234,0.00034603225567438067,5.240082740783691,train,,,,,,
14800,6.945318000469373,0.9099019622802734,0.0003435624490602386,7.447422504425049,train,,,,,,
14917,7.0,,,,val,1.2797117233276367,0.666930693069307,0.6656994444396528,38.2277,198.155,12.399
15000,7.038957991081905,0.8081306457519531,0.0003410926424460965,6.044504165649414,train,,,,,,
15200,7.132832668387702,0.7292035675048828,0.00033862283583195433,5.29222297668457,train,,,,,,
15400,7.226707345693499,0.7321578979492187,0.00033615302921781226,8.883026123046875,train,,,,,,
15600,7.320582022999296,0.7561798095703125,0.0003336832226036701,6.162046432495117,train,,,,,,
15800,7.4144567003050925,0.7721484375,0.00033121341598952805,6.838094711303711,train,,,,,,
16000,7.508331377610889,0.7607469940185547,0.00032874360937538587,7.132346153259277,train,,,,,,
16200,7.602206054916686,0.7723712158203125,0.0003262738027612438,4.353149890899658,train,,,,,,
16400,7.696080732222483,0.7792449188232422,0.0003238039961471017,7.316959857940674,train,,,,,,
16600,7.78995540952828,0.7627690124511719,0.0003213341895329596,6.984497547149658,train,,,,,,
16800,7.8838300868340765,0.7548534393310546,0.00031886438291881745,6.66146993637085,train,,,,,,
17000,7.977704764139873,0.7923966979980469,0.0003163945763046753,8.24522590637207,train,,,,,,
17048,8.0,,,,val,1.2635021209716797,0.6789438943894389,0.6798378036482956,38.3335,197.608,12.365
17200,8.071344754752406,0.6420305633544922,0.00031392476969053324,5.438053131103516,train,,,,,,
17400,8.165219432058203,0.617249755859375,0.00031145496307639117,8.059040069580078,train,,,,,,
17600,8.259094109364,0.6091235733032226,0.000308985156462249,3.9474689960479736,train,,,,,,
17800,8.352968786669797,0.6291576766967774,0.0003065153498481069,7.789515018463135,train,,,,,,
18000,8.446843463975593,0.6416553497314453,0.0003040455432339648,5.998176097869873,train,,,,,,
18200,8.54071814128139,0.6326837539672852,0.0003015757366198227,8.819526672363281,train,,,,,,
18400,8.634592818587187,0.6448295593261719,0.0002991059300056805,6.119052410125732,train,,,,,,
18600,8.728467495892982,0.6531528472900391,0.00029663612339153844,6.559321880340576,train,,,,,,
18800,8.82234217319878,0.66424560546875,0.00029416631677739636,5.466388702392578,train,,,,,,
19000,8.916216850504576,0.6822145080566406,0.00029169651016325423,7.322607040405273,train,,,,,,
19179,9.0,,,,val,1.2851135730743408,0.6847524752475248,0.6884298098905663,39.1968,193.256,12.093
19200,9.00985684111711,0.6716427612304687,0.0002892267035491121,3.439772605895996,train,,,,,,
19400,9.103731518422906,0.43723236083984374,0.00028675689693496997,4.925777435302734,train,,,,,,
19600,9.197606195728703,0.5335826873779297,0.0002842870903208279,5.783690452575684,train,,,,,,
19800,9.2914808730345,0.5266798400878906,0.00028181728370668576,6.363175392150879,train,,,,,,
20000,9.385355550340297,0.5152433776855468,0.00027934747709254363,7.47614860534668,train,,,,,,
20200,9.479230227646092,0.520846290588379,0.00027687767047840156,6.863569259643555,train,,,,,,
20400,9.57310490495189,0.530912971496582,0.0002744078638642594,6.520145416259766,train,,,,,,
20600,9.666979582257685,0.5331941986083985,0.00027193805725011735,8.432051658630371,train,,,,,,
20800,9.760854259563482,0.5761021804809571,0.00026946825063597517,7.446439266204834,train,,,,,,
21000,9.854728936869279,0.5720672607421875,0.0002669984440218331,7.666536331176758,train,,,,,,
21200,9.948603614175076,0.5456112670898438,0.000264528637407691,4.4487433433532715,train,,,,,,
21310,10.0,,,,val,1.3062084913253784,0.6864686468646864,0.6851461313394505,38.1578,198.518,12.422
21400,10.04224360478761,0.47875343322753905,0.0002620588307935489,5.79871940612793,train,,,,,,
21600,10.136118282093406,0.4002410125732422,0.00025958902417940675,6.96863317489624,train,,,,,,
21800,10.229992959399201,0.4015809631347656,0.0002571192175652646,9.35063648223877,train,,,,,,
22000,10.323867636705,0.4104500961303711,0.00025464941095112254,7.056698322296143,train,,,,,,
22200,10.417742314010795,0.4137222671508789,0.0002521796043369804,3.9748618602752686,train,,,,,,
22400,10.511616991316592,0.44352638244628906,0.0002497097977228383,8.789575576782227,train,,,,,,
22600,10.605491668622388,0.42737483978271484,0.0002472399911086962,7.017999172210693,train,,,,,,
22800,10.699366345928185,0.4396626281738281,0.0002447701844945541,4.430822372436523,train,,,,,,
23000,10.793241023233982,0.4738456344604492,0.00024230037788041197,7.66294527053833,train,,,,,,
23200,10.887115700539779,0.4519956970214844,0.00023983057126626987,6.199942588806152,train,,,,,,
23400,10.980990377845576,0.4622469711303711,0.00023736076465212774,8.628663063049316,train,,,,,,
23441,11.0,,,,val,1.3756141662597656,0.6855445544554456,0.6872329654900957,38.0676,198.988,12.452
23600,11.074630368458108,0.3202927398681641,0.00023489095803798564,5.398353576660156,train,,,,,,
23800,11.168505045763904,0.301535530090332,0.0002324211514238435,7.54780387878418,train,,,,,,
24000,11.262379723069701,0.315832633972168,0.0002299513448097014,8.255008697509766,train,,,,,,
24200,11.356254400375498,0.32419734954833984,0.00022748153819555927,5.532873153686523,train,,,,,,
24400,11.450129077681295,0.34227958679199216,0.0002250117315814172,7.54222297668457,train,,,,,,
24600,11.544003754987092,0.32823078155517577,0.00022254192496727506,4.859686851501465,train,,,,,,
24800,11.637878432292888,0.345042839050293,0.00022007211835313296,5.181898593902588,train,,,,,,
25000,11.731753109598685,0.3338104248046875,0.00021760231173899083,9.151314735412598,train,,,,,,
25200,11.825627786904482,0.35667240142822265,0.00021513250512484873,5.8049235343933105,train,,,,,,
25400,11.919502464210279,0.3651304244995117,0.0002126626985107066,4.307742118835449,train,,,,,,
25572,12.0,,,,val,1.3817260265350342,0.6924092409240924,0.6943773858626747,37.735,200.742,12.561
25600,12.01314245482281,0.3202341079711914,0.00021019289189656452,5.899123668670654,train,,,,,,
25800,12.107017132128608,0.21867416381835938,0.0002077230852824224,7.8491692543029785,train,,,,,,
26000,12.200891809434404,0.23540493011474609,0.00020525327866828029,4.171985626220703,train,,,,,,
26200,12.294766486740201,0.24711982727050782,0.00020278347205413816,4.935692310333252,train,,,,,,
26400,12.388641164045998,0.2440797996520996,0.00020031366543999605,5.163672924041748,train,,,,,,
26600,12.482515841351795,0.26337556838989257,0.00019784385882585392,7.686745643615723,train,,,,,,
26800,12.576390518657591,0.2525733757019043,0.00019537405221171185,5.351154327392578,train,,,,,,
27000,12.670265195963388,0.26843109130859377,0.00019290424559756971,5.103124618530273,train,,,,,,
27200,12.764139873269185,0.27451066970825194,0.0001904344389834276,6.915750026702881,train,,,,,,
27400,12.858014550574982,0.2631034851074219,0.00018796463236928548,3.476367473602295,train,,,,,,
27600,12.951889227880779,0.2685477066040039,0.00018549482575514338,6.16391134262085,train,,,,,,
27703,13.0,,,,val,1.4746568202972412,0.6917491749174918,0.6921741304557788,39.2679,192.906,12.071
27800,13.04552921849331,0.21610115051269532,0.00018302501914100125,4.8492608070373535,train,,,,,,
28000,13.139403895799108,0.17057310104370116,0.00018055521252685917,4.593600273132324,train,,,,,,
28200,13.233278573104904,0.17936193466186523,0.00017808540591271704,2.5498030185699463,train,,,,,,
28400,13.327153250410701,0.1830141258239746,0.00017561559929857494,7.332164287567139,train,,,,,,
28600,13.421027927716498,0.18108203887939453,0.0001731457926844328,5.482616424560547,train,,,,,,
28800,13.514902605022295,0.1785391616821289,0.0001706759860702907,4.970149993896484,train,,,,,,
29000,13.608777282328091,0.18492000579833984,0.00016820617945614857,6.045838356018066,train,,,,,,
29200,13.702651959633888,0.2046337127685547,0.00016573637284200647,3.825004816055298,train,,,,,,
29400,13.796526636939685,0.1990456199645996,0.00016326656622786437,5.534450054168701,train,,,,,,
29600,13.890401314245482,0.17955753326416016,0.00016079675961372226,2.6905405521392822,train,,,,,,
29800,13.984275991551279,0.207144832611084,0.00015832695299958013,4.474426746368408,train,,,,,,
29834,14.0,,,,val,1.4556000232696533,0.700990099009901,0.7014964016117478,38.6024,196.231,12.279
30000,14.07791598216381,0.1429355525970459,0.00015585714638543803,4.563416481018066,train,,,,,,
30200,14.171790659469607,0.1345888900756836,0.0001533873397712959,10.1776762008667,train,,,,,,
30400,14.265665336775404,0.1457061767578125,0.0001509175331571538,7.075339317321777,train,,,,,,
30600,14.359540014081201,0.13901032447814943,0.0001484477265430117,3.252824544906616,train,,,,,,
30800,14.453414691386998,0.12818760871887208,0.0001459779199288696,4.112042427062988,train,,,,,,
31000,14.547289368692795,0.14281436920166016,0.00014350811331472746,3.5918712615966797,train,,,,,,
31200,14.641164045998591,0.13582558631896974,0.00014103830670058535,3.8989667892456055,train,,,,,,
31400,14.735038723304388,0.13935317039489747,0.00013856850008644322,4.092991828918457,train,,,,,,
31600,14.828913400610185,0.13077948570251466,0.00013609869347230112,3.079249143600464,train,,,,,,
31800,14.922788077915982,0.13598741531372072,0.00013362888685815902,2.614133596420288,train,,,,,,
31965,15.0,,,,val,1.4981689453125,0.7019141914191419,0.7023282902500843,39.0609,193.928,12.135
32000,15.016428068528514,0.12782076835632325,0.0001311590802440169,1.9782910346984863,train,,,,,,
